logo_path,name,link,status,usd_raised,month,year,token_sale_price,current_token_price,token_return,roi,erc20,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608853/68747470733a2f2f73746f726a2e696f2f70726573732d6b69742f53746f726a2d73796d626f6c2e737667_idsvml.svg,Storj,https://storj.io/storj.pdf,Completed,30000000,17-May,2017,0.5,0.37,0.74x,RED,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608925/lp1snWoU_ohc391.jpg,Monaco,https://mona.co/monaco-whitepaper.pdf,Completed,26954906,17-Jun,2017,2.84,0.91,0.32x,RED,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501608977/funfair_k22zgx.png,Funfair,https://funfair.io/wp-content/uploads/2017/06/FunFair-Technical-White-Paper.pdf,Completed,26000000,17-Jun,2017,0.01,0.01,1.65x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501610094/logo_big_ijcw7a.png,Tierion,https://tokensale.tierion.com/TierionTokenSaleWhitePaper.pdf,Completed,25040172,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501610303/omise-go-crowdsale-opens-27-jun-2017omise-go-crowdsale-opens-27-jun-2017_jzsrzt.png,Omise GO,https://cdn.omise.co/omg/whitepaper.pdf,Completed,25000000,17-Jun,2017,0.33,1.24,3.80x,GREEN,TRUE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501610459/images_zelfvb.png,Pillar,https://us.pillarproject.io/wp-content/uploads/2017/06/PillarProjectGrayPaper.pdf,Completed,21986902,17-Jul,2017,0.1,0.06,0.63x,RED,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_111/v1501643635/wN87YaeR_x4xyi3.jpg",Open ANX,https://www.openanx.org/en/assets/whitepaper/openANX_White_Paper_ENU.pdf,Completed,18756937,17-Jul,2017,,,,BLUE,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_120/v1501643810/A0H_ZGAR_400x400_b9t77c.jpg",Cosmos,http://cosmos.network/whitepaper,Completed,17000000,17-Apr,2017,,,,BLUE,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_111/v1501643908/aBT9ePdS_400x400_hiynda.jpg",Waves,https://wavesplatform.com/whitepaper_v0.pdf,Completed,16010008,16-May,2016,0.19,2.85,15.15x,GREEN,FALSE,
"http://res.cloudinary.com/dbyoymbpd/image/upload/c_scale,w_111/v1501643958/0EWYY6Kk_400x400_stnew7.jpg",Qtum,https://qtum.org/whitepaper/,Completed,15664829,17-Apr,2017,0.31,5.73,18.66x,GREEN,TRUE,
